"URN","Alignment","Text-Deformation1","Analysis"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:4.1.1.1","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:4@ΟΙ[1]","οἷ","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:4.1.1.2","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:4@ΟΝ[1]","ον","⏑"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:4.1.1.3","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:4@Ε[2]","ἐ","⏑"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:4.1.2.1","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:4@ΤΕΚ[1]","τέκ","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:4.1.2.2","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:4@ΝΩ[1]","νω","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:4.1.2.3","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:4@ΣΕΜ[1]","σεμ","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:4.1.3.1","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:4@ΠΑΙ[1]","παῖ","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:4.1.3.2","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:4@ΔΑ[1]","δα","⏑"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:4.1.3.3","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:4@ΣΟ[1]","σο","⏑"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:4.1.4.1","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:4@ΦΟΙΣ[1]","φοῖς","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:4.1.4.2","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:4@ΒΑ[1]","βά","⏑"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:4.1.3.3","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:4@ΣΑ[1]","σα","⏑"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:4.1.6.4","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:4@ΝΟΝ[1]","νον","—"
